event,boys1a,boys6a,girls1a,girls6a
200 Medley Relay,,,
200 Freestyle,2:24.99,2:13.99,2:36.99,2:25.99
200 IM,2:40.99,2:29.99,2:55.99,2:41.99
50 Freestyle,0:29.99,0:27.99,0:30.99,0:30.99
Diving,,,
100 Butterfly,1:10.99,1:07.99,1:17.99,1:13.99
100 Freestyle,1:04.99,1:00.99,1:07.99,1:07.99
500 Freestyle,6:30.99,6:00.99,6:57.99,6:23.99
200 Freestyle Relay,,,
100 Backstroke,1:23.99,1:08.99,1:18.99,1:13.99
100 Breaststroke,1:22.99,1:16.99,1:31.99,1:24.99
400 Freestyle Relay,,,
