event,boys6a,girls6a
1m Diving,250.00,225.00
200 Freestyle,2:13.99,2:25.99
200 IM,2:29.99,2:41.99
50 Freestyle,0:27.99,0:30.99
100 Butterfly,1:07.99,1:13.99
100 Freestyle,1:00.99,1:07.99
500 Freestyle,6:00.99,6:23.99
100 Backstroke,1:08.99,1:13.99
100 Breaststroke,1:16.99,1:24.99
